Time,Frame,r,Phi,Theta,FILE
60,6,8,0,0,image/output_000060_000000.png
60,6,8,0,45,image/output_000060_000001.png
60,6,8,0,90,image/output_000060_000002.png
60,6,8,0,135,image/output_000060_000003.png
60,6,8,0,180,image/output_000060_000004.png
60,6,8,0,225,image/output_000060_000005.png
60,6,8,0,270,image/output_000060_000006.png
60,6,8,0,315,image/output_000060_000007.png
60,6,8,45,0,image/output_000060_000008.png
60,6,8,45,45,image/output_000060_000009.png
60,6,8,45,90,image/output_000060_000010.png
60,6,8,45,135,image/output_000060_000011.png
60,6,8,45,180,image/output_000060_000012.png
60,6,8,45,225,image/output_000060_000013.png
60,6,8,45,270,image/output_000060_000014.png
60,6,8,45,315,image/output_000060_000015.png
60,6,8,90,0,image/output_000060_000016.png
60,6,8,90,45,image/output_000060_000017.png
60,6,8,90,90,image/output_000060_000018.png
60,6,8,90,135,image/output_000060_000019.png
60,6,8,90,180,image/output_000060_000020.png
60,6,8,90,225,image/output_000060_000021.png
60,6,8,90,270,image/output_000060_000022.png
60,6,8,90,315,image/output_000060_000023.png
70,7,8,0,0,image/output_000070_000000.png
70,7,8,0,45,image/output_000070_000001.png
70,7,8,0,90,image/output_000070_000002.png
70,7,8,0,135,image/output_000070_000003.png
70,7,8,0,180,image/output_000070_000004.png
70,7,8,0,225,image/output_000070_000005.png
70,7,8,0,270,image/output_000070_000006.png
70,7,8,0,315,image/output_000070_000007.png
70,7,8,45,0,image/output_000070_000008.png
70,7,8,45,45,image/output_000070_000009.png
70,7,8,45,90,image/output_000070_000010.png
70,7,8,45,135,image/output_000070_000011.png
70,7,8,45,180,image/output_000070_000012.png
70,7,8,45,225,image/output_000070_000013.png
70,7,8,45,270,image/output_000070_000014.png
70,7,8,45,315,image/output_000070_000015.png
70,7,8,90,0,image/output_000070_000016.png
70,7,8,90,45,image/output_000070_000017.png
70,7,8,90,90,image/output_000070_000018.png
70,7,8,90,135,image/output_000070_000019.png
70,7,8,90,180,image/output_000070_000020.png
70,7,8,90,225,image/output_000070_000021.png
70,7,8,90,270,image/output_000070_000022.png
70,7,8,90,315,image/output_000070_000023.png
80,8,8,0,0,image/output_000080_000000.png
80,8,8,0,45,image/output_000080_000001.png
80,8,8,0,90,image/output_000080_000002.png
80,8,8,0,135,image/output_000080_000003.png
80,8,8,0,180,image/output_000080_000004.png
80,8,8,0,225,image/output_000080_000005.png
80,8,8,0,270,image/output_000080_000006.png
80,8,8,0,315,image/output_000080_000007.png
80,8,8,45,0,image/output_000080_000008.png
80,8,8,45,45,image/output_000080_000009.png
80,8,8,45,90,image/output_000080_000010.png
80,8,8,45,135,image/output_000080_000011.png
80,8,8,45,180,image/output_000080_000012.png
80,8,8,45,225,image/output_000080_000013.png
80,8,8,45,270,image/output_000080_000014.png
80,8,8,45,315,image/output_000080_000015.png
80,8,8,90,0,image/output_000080_000016.png
80,8,8,90,45,image/output_000080_000017.png
80,8,8,90,90,image/output_000080_000018.png
80,8,8,90,135,image/output_000080_000019.png
